Date,Day,Name
Apr 22,Thursday,Earth Day
Apr 22,Thursday,Oklahoma Day
Apr 22,Thursday,Take our Daughters and Sons to Work Day
Apr 23,Friday,World Book and Copyright Day
Apr 23,Friday,World Spanish Language Day
Apr 23,Friday,English Language Day
Apr 24,Saturday,International Day of Multilateralism and Diplomacy for Peace
Apr 25,Sunday,International Delegate's Day
Apr 25,Sunday,World Malaria Day
Apr 26,Monday,World Intellectual Property Day
Apr 26,Monday,International Chernobyl Disaster Remembrance Day
Apr 26,Monday,Arbor Day
Apr 26,Monday,Confederate Memorial Day
Apr 26,Monday,Confederate Memorial Day
Apr 26,Monday,Confederate Memorial Day
Apr 26,Monday,State Holiday
Apr 28,Wednesday,World Day for Safety and Health at Work
Apr 30,Friday,Lag BaOmer
Apr 30,Friday,Orthodox Good Friday
Apr 30,Friday,International Jazz Day
Apr 30,Friday,Arbor Day
Apr 30,Friday,Arbor Day
Apr 30,Friday,Kentucky Oaks
,,
May 1,Saturday,Orthodox Holy Saturday
May 1,Saturday,Kentucky Derby
May 1,Saturday,Law Day
May 1,Saturday,Loyalty Day
May 1,Saturday,National Explosive Ordnance Disposal (EOD) Day
May 1,Saturday,Lei Day
May 1,Saturday,First Day of Military Appreciation Month
May 1,Saturday,First Day of Asian Pacific American Heritage Month
May 1,Saturday,First Day of Jewish American Heritage Month
May 2,Sunday,Orthodox Easter
May 2,Sunday,World Tuna Day
May 2,Sunday,International Family Equality Day
May 3,Monday,Orthodox Easter Monday
May 3,Monday,World Press Freedom Day
May 4,Tuesday,Kent State Shootings Remembrance
May 4,Tuesday,Rhode Island Independence Day
May 4,Tuesday,National Teacher Appreciation Day
May 5,Wednesday,World Portuguese Language Day
May 5,Wednesday,Cinco de Mayo
May 6,Thursday,National Nurses Day
May 6,Thursday,National Day of Prayer
May 6,Thursday,West Virginia Day of Prayer
May 7,Friday,Truman Day observed
May 7,Friday,Military Spouse Appreciation Day
May 7,Friday,Military Spouse Appreciation Day
May 8,Saturday,Lailat al-Qadr
May 8,Saturday,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War
May 8,Saturday,World Migratory Bird Day
May 8,Saturday,World Ovarian Cancer Day
May 8,Saturday,World Red Cross and Red Crescent Day
May 8,Saturday,Truman Day
May 8,Saturday,Victory in Europe Day
May 9,Sunday,Mother's Day
May 9,Sunday,Mother's Day
May 10,Monday,International Day of Argania
May 10,Monday,Confederate Memorial Day
May 10,Monday,Confederate Memorial Day
May 12,Wednesday,International Nurses Day
May 13,Thursday,Ascension Day
May 13,Thursday,Eid al-Fitr
May 14,Friday,Native American Day
May 15,Saturday,International Day of Families
May 15,Saturday,Public Lands Day
May 15,Saturday,Peace Officers Memorial Day
May 15,Saturday,Armed Forces Day
May 15,Saturday,Preakness Stakes
May 16,Sunday,International Day of Living Together in Peace
May 16,Sunday,International Day of Light
May 17,Monday,Shavuot
May 17,Monday,World Telecommunication and Information Society Day
May 17,Monday,Tax Day
May 19,Wednesday,Emergency Medical Services for Children Day
May 20,Thursday,World Bee Day
May 20,Thursday,World Autoimmune / Autoinflammatory Arthritis Day
May 21,Friday,World Day for Cultural Diversity for Dialogue and Development
May 21,Friday,International Tea Day
May 21,Friday,National Defense Transportation Day
May 22,Saturday,International Day for Biological Diversity
May 22,Saturday,National Maritime Day
May 22,Saturday,Harvey Milk Day
May 23,Sunday,Pentecost
May 23,Sunday,International Day to End Obstetric Fistula
May 24,Monday,Whit Monday
May 25,Tuesday,African Liberation Day
May 25,Tuesday,National Missing Children's Day
May 26,Wednesday,Day of Vesak
May 29,Saturday,International Day of United Nations Peacekeepers
May 30,Sunday,Trinity Sunday
May 31,Monday,World No Tobacco Day
May 31,Monday,Memorial Day
May 31,Monday,Decoration Day
May 31,Monday,Jefferson Davis' Birthday
,,
Jun 1,Tuesday,Global Day of Parents
Jun 1,Tuesday,First Day of Pride Month
Jun 1,Tuesday,First Day of Caribbean-American Heritage Month
Jun 1,Tuesday,Statehood Day
Jun 3,Thursday,Corpus Christi
Jun 3,Thursday,World Bicycle Day
Jun 3,Thursday,Jefferson Davis' Birthday
Jun 4,Friday,International Day of Innocent Children Victims of Aggression
Jun 5,Saturday,World Environment Day
Jun 5,Saturday,"International Day for the Fight against Illegal, Unreported and Unregulated Fishing"
Jun 5,Saturday,Belmont Stakes
Jun 6,Sunday,Day of the Russian Language
Jun 6,Sunday,Native American Day
Jun 6,Sunday,D-Day
Jun 7,Monday,World Food Safety Day
Jun 7,Monday,Jefferson Davis' Birthday
Jun 8,Tuesday,World Oceans Day
Jun 11,Friday,Kamehameha Day
Jun 12,Saturday,World Day Against Child Labour
Jun 12,Saturday,Loving Day
Jun 13,Sunday,International Albinism Awareness Day
Jun 14,Monday,World Blood Donor Day
Jun 14,Monday,Army Birthday
Jun 14,Monday,Flag Day
Jun 15,Tuesday,World Elder Abuse Awareness Day
Jun 16,Wednesday,International Day of Family Remittances
Jun 17,Thursday,World Day to Combat Desertification and Drought
Jun 17,Thursday,Bunker Hill Day
Jun 18,Friday,Sustainable Gastronomy Day
Jun 18,Friday,Juneteenth (substitute)
Jun 18,Friday,Juneteenth National Freedom Day (substitute)
Jun 18,Friday,Juneteenth (substitute)
Jun 18,Friday,Juneteenth Day
Jun 19,Saturday,International Day for the Elimination of Sexual Violence in Conflict
Jun 19,Saturday,Juneteenth
Jun 19,Saturday,Juneteenth
Jun 19,Saturday,Juneteenth Day
Jun 19,Saturday,Juneteenth National Freedom Day
Jun 19,Saturday,Juneteenth
Jun 19,Saturday,Juneteenth National Independence Day
Jun 19,Saturday,Juneteenth
Jun 19,Saturday,Emancipation Day
Jun 20,Sunday,World Refugee Day
Jun 20,Sunday,Father's Day
Jun 20,Sunday,Father's Day
Jun 20,Sunday,West Virginia Day
Jun 20,Sunday,American Eagle Day
Jun 20,Sunday,June Solstice
Jun 21,Monday,International Day of Yoga
Jun 21,Monday,International Day of the Celebration of the Solstice
Jun 21,Monday,West Virginia Day observed
Jun 23,Wednesday,Public Service Day
Jun 23,Wednesday,International Widows' Day
Jun 25,Friday,Day of the Seafarer
Jun 26,Saturday,International Day Against Drug Abuse and Illicit Trafficking
Jun 26,Saturday,International Day in Support of Victims of Torture
Jun 27,Sunday,"Micro-, Small and Medium-sized Enterprises Day"
Jun 28,Monday,Carolina Day
Jun 29,Tuesday,International Day of the Tropics
Jun 30,Wednesday,International Asteroid Day
Jun 30,Wednesday,International Day of Parliamentarism
,,
Jul 3,Saturday,International Day of Cooperatives
Jul 4,Sunday,Independence Day
Jul 4,Sunday,Independence Day
Jul 5,Monday,Independence Day (substitute)
Jul 5,Monday,Independence Day (substitute)
Jul 11,Sunday,World Population Day
Jul 13,Tuesday,Nathan Bedford Forrest Day
Jul 14,Wednesday,Bastille Day
Jul 15,Thursday,World Youth Skills Day
Jul 16,Friday,Rural Transit Day
Jul 18,Sunday,Tisha B'Av
Jul 18,Sunday,Nelson Mandela Day
Jul 20,Tuesday,Eid al-Adha
Jul 20,Tuesday,World Chess Day
Jul 23,Friday,Pioneer Day observed
Jul 24,Saturday,Pioneer Day
Jul 25,Sunday,World Drowning Prevention Day
Jul 25,Sunday,Parents' Day
Jul 27,Tuesday,Korean War Veteran Recognition Day
Jul 27,Tuesday,National Korean War Veterans Armistice Day
Jul 28,Wednesday,World Hepatitis Day
Jul 30,Friday,International Day of Friendship
Jul 30,Friday,World Day Against Trafficking in Persons
,,
Aug 1,Sunday,Colorado Day
Aug 1,Sunday,American Family Day
Aug 4,Wednesday,Coast Guard Birthday
Aug 4,Wednesday,Barack Obama Day
Aug 7,Saturday,Purple Heart Day
Aug 7,Saturday,Purple Heart Day
Aug 9,Monday,International Day of the World's Indigenous People
Aug 9,Monday,Victory Day
Aug 10,Tuesday,Muharram
Aug 12,Thursday,International Youth Day
Aug 13,Friday,Friday the 13th
Aug 15,Sunday,Assumption of Mary
Aug 15,Sunday,National Navajo Code Talkers Day
Aug 15,Sunday,National Senior Citizens Day
Aug 16,Monday,Bennington Battle Day
Aug 19,Thursday,Ashura
Aug 19,Thursday,World Humanitarian Day
Aug 19,Thursday,National Aviation Day
Aug 20,Friday,Hawaii Statehood Day
Aug 21,Saturday,Raksha Bandhan
Aug 21,Saturday,International Day of Remembrance of and Tribute to the Victims of Terrorism
Aug 22,Sunday,International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief
Aug 23,Monday,International Day for the Remembrance of the Slave Trade and its Abolition
Aug 26,Thursday,Susan B. Anthony Day
Aug 26,Thursday,Women's Equality Day
Aug 27,Friday,Lyndon Baines Johnson Day
Aug 29,Sunday,International Day against Nuclear Tests
Aug 30,Monday,Janmashtami
Aug 30,Monday,International Day of the Victims of Enforced Disappearances
Aug 31,Tuesday,International Day for People of African Descent
Aug 31,Tuesday,International Overdose Awareness Day
,,
Sep 4,Saturday,World Sexual Health Day
Sep 5,Sunday,International Day of Charity
Sep 6,Monday,Labor Day
Sep 6,Monday,Labor Day
Sep 7,Tuesday,Rosh Hashana
Sep 7,Tuesday,International Day of Clean Air for Blue Skies
Sep 7,Tuesday,Still's Disease Awareness Day
Sep 7,Tuesday,Rosh Hashana
Sep 8,Wednesday,International Literacy Day
Sep 9,Thursday,International Day to Protect Education from Attack
Sep 9,Thursday,California Admission Day
Sep 10,Friday,Ganesh Chaturthi
Sep 10,Friday,World Suicide Prevention Day
Sep 11,Saturday,First Responders Day
Sep 11,Saturday,Patriot Day
Sep 11,Saturday,Patriot Day
Sep 11,Saturday,Carl Garner Federal Lands Cleanup Day
Sep 11,Saturday,Native American Day
Sep 12,Sunday,International Day for South-South Cooperation
Sep 12,Sunday,National Grandparents Day
Sep 12,Sunday,Constitution Commemoration Day
Sep 13,Monday,International Programmers' Day
Sep 15,Wednesday,International Day of Democracy
Sep 15,Wednesday,First Day of National Hispanic Heritage Month
Sep 16,Thursday,Yom Kippur
Sep 16,Thursday,International Day for the Preservation of the Ozone Layer
Sep 16,Thursday,Yom Kippur
Sep 17,Friday,World Patient Safety Day
Sep 17,Friday,Constitution Day and Citizenship Day
Sep 17,Friday,National POW/MIA Recognition Day
Sep 18,Saturday,International Equal Pay Day
Sep 18,Saturday,Air Force Birthday
Sep 18,Saturday,National CleanUp Day
Sep 21,Tuesday,First Day of Sukkot
Sep 21,Tuesday,International Day of Peace
Sep 22,Wednesday,Emancipation Day
Sep 22,Wednesday,September Equinox
Sep 23,Thursday,International Day of Sign Languages
Sep 23,Thursday,International Celebrate Bisexuality Day
Sep 24,Friday,Native American Day
Sep 24,Friday,American Indian Heritage Day
Sep 24,Friday,Michigan Indian Day
Sep 25,Saturday,Public Lands Day
Sep 25,Saturday,National Public Lands Day
